# Total Phase Data Center(tm) v6.52
# (c) 2005-2012 Total Phase, Inc.
# www.totalphase.com
#
# Thu May 09 09:42:05 2013
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Data,Summary,ASCII
0,,125,0:22.218.935,206.031.583 ms,,,,,[207 SOF],,[Frames: 1390 - 1596] ,
0,,126,0:22.178.933,246.085.083 ms,64 B,,05,01,IN txn   [246 POLL],41 42 43 3C 51 01 36 36 35 34 35 35 00 00 00 00 00 00 00 00 00 00 12 21 05 00 00 00 00 00 00 00 40 00 00 00 09 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,ABC<Q.665455...........!........@................…
1,,127,0:22.178.933,245.038.812 ms,,,05,01,   [246 IN-NAK],,,
1,,128,0:22.424.967,2.833 us,3 B,,05,01,   IN packet,69 85 60,,i.`
1,,129,0:22.424.971,45.437 us,67 B,,05,01,   DATA1 packet,4B 41 42 43 3C 51 01 36 36 35 34 35 35 00 00 00 00 00 00 00 00 00 00 12 21 05 00 00 00 00 00 00 00 40 00 00 00 09 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 D9 39,,KABC<Q.665455...........!........@...............…
1,,130,0:22.425.017,1.500 us,1 B,,05,01,   ACK packet,D2,,.
0,,131,0:22.425.964,2.833 us,,,,,[1 SOF],,[Frame: 1597] ,
0,,132,0:22.425.968,50.750 us,64 B,,05,01,IN txn,41 42 43 25 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,ABC%.............................................…
1,,133,0:22.425.968,2.812 us,3 B,,05,01,   IN packet,69 85 60,,i.`
1,,134,0:22.425.971,45.416 us,67 B,,05,01,   DATA0 packet,C3 41 42 43 25 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 1F DF,,.ABC%............................................…
1,,135,0:22.426.017,1.500 us,1 B,,05,01,   ACK packet,D2,,.
0,,136,0:22.426.964,42.008.708 ms,,,,,[43 SOF],,[Frames: 1598 - 1640] ,
0,,137,0:22.468.974,50.833 us,64 B,,05,01,OUT txn,00 00 00 28 51 01 36 36 35 34 35 35 00 00 00 00 00 00 00 00 00 00 12 21 05 00 00 00 00 00 00 00 07 00 00 00 E2 A7 66 54 55 83 00 D9 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,...(Q.665455...........!..............fTU........…
1,,138,0:22.468.974,2.833 us,3 B,,05,01,   OUT packet,E1 85 60,,..`
1,,139,0:22.468.977,45.583 us,67 B,,05,01,   DATA1 packet,4B 00 00 00 28 51 01 36 36 35 34 35 35 00 00 00 00 00 00 00 00 00 00 12 21 05 00 00 00 00 00 00 00 07 00 00 00 E2 A7 66 54 55 83 00 D9 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 19 6E,,K...(Q.665455...........!..............fTU.......…
1,,140,0:22.469.023,1.479 us,1 B,,05,01,   ACK packet,D2,,.
0,,141,0:22.469.970,207.031.708 ms,,,,,[208 SOF],,[Frames: 1641 - 1848] ,
0,,142,0:22.426.968,250.085.645 ms,64 B,,05,01,IN txn   [250 POLL],41 42 43 3C 51 01 36 36 35 34 35 35 00 00 00 00 00 00 00 00 00 00 12 21 05 00 00 00 00 00 00 00 40 00 00 00 0C 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,ABC<Q.665455...........!........@................…
1,,143,0:22.426.968,249.039.312 ms,,,05,01,   [250 IN-NAK],,,
1,,144,0:22.677.003,2.833 us,3 B,,05,01,   IN packet,69 85 60,,i.`
1,,145,0:22.677.006,45.520 us,67 B,,05,01,   DATA1 packet,4B 41 42 43 3C 51 01 36 36 35 34 35 35 00 00 00 00 00 00 00 00 00 00 12 21 05 00 00 00 00 00 00 00 40 00 00 00 0C 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 D1 FE,,KABC<Q.665455...........!........@...............…
1,,146,0:22.677.052,1.479 us,1 B,,05,01,   ACK packet,D2,,.
0,,147,0:22.677.999,2.833 us,,,,,[1 SOF],,[Frame: 1849] ,
