# Total Phase Data Center(tm) v6.52
# (c) 2005-2012 Total Phase, Inc.
# www.totalphase.com
#
# Thu May 09 09:45:00 2013
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Data,Summary,ASCII
1,,133,0:37.214.592,2.833 us,3 B,,05,01,   IN packet,69 85 60,,i.`
1,,134,0:37.214.595,45.500 us,67 B,,05,01,   DATA1 packet,4B 41 42 43 21 51 01 36 36 35 34 35 35 00 00 00 00 00 00 00 00 00 00 10 01 1E 00 00 00 00 00 00 00 00 00 00 00 C0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 7F 02,,KABC!Q.665455....................................…
1,,135,0:37.214.642,1.500 us,1 B,,05,01,   ACK packet,D2,,.
0,,136,0:37.215.589,27.006.604 ms,,,,,[28 SOF],,[Frames: 1588 - 1615] ,
0,,137,0:37.242.596,50.750 us,64 B,,05,01,OUT txn,00 00 00 28 51 01 36 36 35 34 35 35 00 00 00 00 00 00 00 00 00 00 12 21 05 00 00 00 00 00 00 00 07 00 00 00 C9 A7 66 54 55 75 00 CE 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,...(Q.665455...........!..............fTUu.......…
1,,138,0:37.242.596,2.833 us,3 B,,05,01,   OUT packet,E1 85 60,,..`
1,,139,0:37.242.600,45.500 us,67 B,,05,01,   DATA0 packet,C3 00 00 00 28 51 01 36 36 35 34 35 35 00 00 00 00 00 00 00 00 00 00 12 21 05 00 00 00 00 00 00 00 07 00 00 00 C9 A7 66 54 55 75 00 CE 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 93 42,,....(Q.665455...........!..............fTUu......…
1,,140,0:37.242.645,1.479 us,1 B,,05,01,   ACK packet,D2,,.
0,,141,0:37.243.593,207.031.750 ms,,,,,[208 SOF],,[Frames: 1616 - 1823] ,
0,,142,0:37.215.592,235.083.604 ms,64 B,,05,01,IN txn   [235 POLL],41 42 43 3C 51 01 36 36 35 34 35 35 00 00 00 00 00 00 00 00 00 00 12 21 05 00 00 00 00 00 00 00 40 00 00 00 09 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,ABC<Q.665455...........!........@................…
1,,143,0:37.215.592,234.037.250 ms,,,05,01,   [235 IN-NAK],,,
1,,144,0:37.450.625,2.833 us,3 B,,05,01,   IN packet,69 85 60,,i.`
1,,145,0:37.450.628,45.416 us,67 B,,05,01,   DATA0 packet,C3 41 42 43 3C 51 01 36 36 35 34 35 35 00 00 00 00 00 00 00 00 00 00 12 21 05 00 00 00 00 00 00 00 40 00 00 00 09 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 D9 39,,.ABC<Q.665455...........!........@...............…
1,,146,0:37.450.674,1.500 us,1 B,,05,01,   ACK packet,D2,,.
0,,147,0:37.451.622,2.833 us,,,,,[1 SOF],,[Frame: 1824] ,
0,,148,0:37.451.625,50.750 us,64 B,,05,01,IN txn,41 42 43 25 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,ABC%.............................................…
1,,149,0:37.451.625,2.833 us,3 B,,05,01,   IN packet,69 85 60,,i.`
1,,150,0:37.451.628,45.437 us,67 B,,05,01,   DATA1 packet,4B 41 42 43 25 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 1F DF,,KABC%............................................…
1,,151,0:37.451.675,1.500 us,1 B,,05,01,   ACK packet,D2,,.
0,,152,0:37.452.622,42.008.666 ms,,,,,[43 SOF],,[Frames: 1825 - 1867] ,
0,,153,0:37.494.631,50.833 us,64 B,,05,01,OUT txn,00 00 00 28 51 01 36 36 35 34 35 35 00 00 00 00 00 00 00 00 00 00 12 21 05 00 00 00 00 00 00 00 07 00 00 00 E2 A7 66 54 55 83 00 D9 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,,...(Q.665455...........!..............fTU........…
1,,154,0:37.494.631,2.833 us,3 B,,05,01,   OUT packet,E1 85 60,,..`
